SmartTV-Taiwan,#genre#
三立综合 Sanli Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlizhonghe/playlist.m3u8
三立都会台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlidouhui/playlist.m3u8
东森新闻 ETTV News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvnews/playlist.m3u8
CINEMAX,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cinemax_twn/playlist.m3u8
东森综合 ETTV Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvzhonghe/playlist.m3u8
东森戏剧 ETTV Drama,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvdrama/playlist.m3u8
东森超视,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvsuper/playlist.m3u8
东森财经新闻 ETTV Business,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8
寰宇财经,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/huanyutaiwan_twn/playlist.m3u8
寰宇新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/huanyuxinwen_twn/playlist.m3u8
大爱1台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/daai_twn/playlist.m3u8
非凡新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/feifannews_twn/playlist.m3u8
龙华戏剧 Lunghua Drama,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8
龙华戏剧台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8
龙华经典台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuajingdian_twn/playlist.m3u8
龙华偶像,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaidol_twn/playlist.m3u8
AXN Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/axn_twn/playlist.m3u8
靖天国际台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/jingtianintl_twn/playlist.m3u8
年代新闻,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/niandainews_twn/playlist.m3u8
纬来日本台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandjapan/playlist.m3u8
纬来电影台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandmovie_twn/playlist.m3u8
纬来体育台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandsport/playlist.m3u8
纬来综合台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandzonghe/playlist.m3u8
纬来育乐,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandyule/playlist.m3u8
纬来精彩,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandspecial_twn/playlist.m3u8
好消息 2,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/goods_twn/playlist.m3u8
大爱2台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/catchplay_twn/playlist.m3u8
亚洲美食,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/afc_twn/playlist.m3u8
美食星球,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/foodplanet_twn/playlist.m3u8
亚洲旅游 TLC Asia,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tlc_twn/playlist.m3u8
东森电影 ETTV Movie,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvmovie/playlist.m3u8
阿里郎 Arirang,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/arirang_twn/playlist.m3u8
博斯运动 1,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosisport1_twn/playlist.m3u8
博斯运动 2,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosisport2_twn/playlist.m3u8
博斯高球2 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosigolf2_twn/playlist.m3u8
博斯网球 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bositennis_twn/playlist.m3u8
东森洋片 ETTV Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvwestern/playlist.m3u8
龙华洋片 Lunghua Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuawestern_twn/playlist.m3u8
博斯无限,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosiunlimited_twn/playlist.m3u8
MTV Live,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/mtvhd_twn/playlist.m3u8
龙详时代,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lungxiangtime_twn/playlist.m3u8
EYETV 旅游,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eyetvtravel_twn/playlist.m3u8
靖天卡通台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/jingtiancartoon_twn/playlist.m3u8
EYETV 戏剧,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eyetvxiju_twn/playlist.m3u8
卫视中文台 Star Movies Chinese,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishichinese_twn/playlist.m3u8
东森幼幼 Yoyo TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/yoyo_twn/playlist.m3u8
卫视电影台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishimovie_twn/playlist.m3u8
美亚电影,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8
爱尔达影剧台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eltayingju_twn/playlist.m3u8
爱尔达综合台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eltazonghe_twn/playlist.m3u8
星卫电影,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/xingwei_movie/playlist.m3u8
爱尔达影剧,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eltayingju_twn/playlist.m3u8
爱尔达体育2台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eltasport2_twn/playlist.m3u8
爱尔达体育3台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eltasport3_twn/playlist.m3u8
AFC 亚洲旅游台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/asiatravel_twn/playlist.m3u8
SmartTV-Movie,#genre#
HBO_HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hbohd_twn/playlist.m3u8
HBO_HITS,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hbohits_twn/playlist.m3u8
Hollywood Movies,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hollywoodmovies_twn/playlist.m3u8
CCTV-6,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cctv6/playlist.m3u8
CINEMAX,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cinemax_twn/playlist.m3u8
Cinemax,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Cinemax/playlist.m3u8
AXN Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/axn_twn/playlist.m3u8
大爱2台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/catchplay_twn/playlist.m3u8
东森电影 ETTV Movie,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvmovie/playlist.m3u8
东森洋片 ETTV Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvwestern/playlist.m3u8
龙华洋片 Lunghua Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuawestern_twn/playlist.m3u8
龙详时代,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lungxiangtime_twn/playlist.m3u8
Animax,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Animax/playlist.m3u8
Movies Now HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/moviesnow_raj/playlist.m3u8
Star Movies HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/starmovies_raj/playlist.m3u8
卫视中文台 Star Movies Chinese,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishichinese_twn/playlist.m3u8
HBO Family,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hbofamily/playlist.m3u8
卫视电影台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishimovie_twn/playlist.m3u8
HBO HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hbo/playlist.m3u8
Hits,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hits/playlist.m3u8
Warner TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/WarnerTV/playlist.m3u8
美亚电影,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8
HBO Signature,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hbosignature/playlist.m3u8
HBO Hits,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hbohits/playlist.m3u8
星卫电影,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/xingwei_movie/playlist.m3u8
SCM,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Weishimovie/playlist.m3u8
Thrill,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Thrill/playlist.m3u8
Hits Movie,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Hitsmovie/playlist.m3u8
One,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/One_mega/playlist.m3u8
tvN Movie,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Tvnmovie/playlist.m3u8
Celestial Classic,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Celestial2/playlist.m3u8
Celestial Movies HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Celestialindo/playlist.m3u8
Axn HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Axn/playlist.m3u8
Paramount Network,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Paramountnetwork/playlist.m3u8
Astrol Kplus,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Kplus/playlist.m3u8
Rock Actions,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Rockaction/playlist.m3u8
Rock Entertainment,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Rockentertain/playlist.m3u8
Sony Pix HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sonypix_mega/playlist.m3u8
SmartTV-Documentary,#genre#
Natgeo_HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/natgeohd_twn/playlist.m3u8
NatGeo_Wild HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/natgeowild_twn/playlist.m3u8
Animal_Planet,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/animalplanet_twn/playlist.m3u8
Discovery Asia,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/discoverytwn_twn/playlist.m3u8
CI,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ci_twn/playlist.m3u8
Asia Travel,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/asiatravel_twn/playlist.m3u8
Discovery HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/discoveryhd_twn/playlist.m3u8
亚洲美食,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/afc_twn/playlist.m3u8
美食星球,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/foodplanet_twn/playlist.m3u8
亚洲旅游 TLC Asia,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tlc_twn/playlist.m3u8
NatGeo HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Natgeo/playlist.m3u8
Fashion TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/fashiontv_twn/playlist.m3u8
History,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/History/playlist.m3u8
BBC Earth HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bbcearth_twn/playlist.m3u8
BBC Earth Lifestyle,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bbclifestyle_twn/playlist.m3u8
MTV Live,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/mtvhd_twn/playlist.m3u8
NatGeo Wild HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Natgeowild/playlist.m3u8
Animal Planet (Eng),http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/AnimalPlanet/playlist.m3u8
TLC,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Tlc/playlist.m3u8
AFC 亚洲旅游台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/asiatravel_twn/playlist.m3u8
Foodnetwork Hd,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Foodnetwork_mega/playlist.m3u8
HGTV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/HGTV/playlist.m3u8
SmartTV-News,#genre#
Skynews,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/skynews_antik/playlist.m3u8
ABC News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/abcnews_glo/playlist.m3u8
东森财经新闻 ETTV Business,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8
CBS HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cbshd_glo/playlist.m3u8
CBSN HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cbsn_glo/playlist.m3u8
France 24,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/france24_twn/playlist.m3u8
DW (Deutsch),http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/dw_twn/playlist.m3u8
NHK World,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/nhkworld_japan/playlist.m3u8
Fox News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/foxnews_twn/playlist.m3u8
CGTN,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/CGTN/playlist.m3u8
CNN International,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Cnn/playlist.m3u8
CNN backup,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cnn_twn/playlist.m3u8
CNBC,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cnbc_twn/playlist.m3u8
CNA,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cna/playlist.m3u8
BBC World News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bbcnews_twn/playlist.m3u8
BBC World News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Bbcnews/playlist.m3u8
Bloomberg News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bloomberg_twn/playlist.m3u8
Al-Jazeera,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/aljazeera_twn/playlist.m3u8
SmartTV-Kids,#genre#
Baby TV Eng,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Babytv/playlist.m3u8
CBeebies,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Cbeebies/playlist.m3u8
Kids TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/KidsTV/playlist.m3u8
Boomerang,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Boomerang/playlist.m3u8
Disney Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/disneytwn_twn/playlist.m3u8
Momo TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/momo1_twn/playlist.m3u8
Animax,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Animax/playlist.m3u8
靖天卡通台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/jingtiancartoon_twn/playlist.m3u8
Boomerang Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/boomerang_twn/playlist.m3u8
Baby TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/babytv_twn/playlist.m3u8
MiaoMi,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/MiaoMi/playlist.m3u8
东森幼幼 Yoyo TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/yoyo_twn/playlist.m3u8
Cartoon Network,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Cn/playlist.m3u8
Nickelodeon,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Nickelodeon/playlist.m3u8
Nick Jr,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/Nickjr/playlist.m3u8
142酒店,#genre#
中天新闻,p2p://142.54.189.229:7575/64de52a70006e20d01b906297b7d0f95.ts
TVBS新闻,p2p://142.54.189.229:7575/64df0c5d000a530d048e75f37b155008.ts
东森新闻,p2p://142.54.189.229:7575/64df0db3000d67790493aeaf65c56300.ts
三立新闻,p2p://142.54.189.229:7575/64df114a00089e6504a1b34e5ec80344.ts
年代新闻,p2p://142.54.189.229:7575/64df11830008ea4904a2921502394fe8.ts
华视新闻资讯,p2p://142.54.189.229:7575/64df425800075d5a056151b0773f199c.ts
台视,p2p://142.54.189.229:7575/64df1280000382f804a66cf66f723cd5.ts
台视新闻,p2p://142.54.189.229:7575/64df421e00024c6a05606dd80e88417d.ts
非凡商业,p2p://142.54.189.229:7575/64df45be00022c98056e96c83cf40f33.ts
纬来综合,p2p://142.54.189.229:7575/64df43e300075980056758a83a2b540c.ts
纬来日本,p2p://142.54.189.229:7575/64df443f00095d370568c085157977f8.ts
八大第一台,p2p://142.54.189.229:7575/64df428e000c6d3f056225e83e547c64.ts
八大戏剧,p2p://142.54.189.229:7575/64df42c10009db1b0562ec745e7901e2.ts
八大综合,p2p://142.54.189.229:7575/64df42f20009ad300563abdc15e323c9.ts
纬来戏剧,p2p://142.54.189.229:7575/64df437200095ddd05659fbd043c428f.ts
纬来体育,p2p://142.54.189.229:7575/64df434b000e4fa8056508ad7eb544f1.ts
纬来育乐,p2p://142.54.189.229:7575/64df43ac00074b2b056681d0209227db.ts
BBC,p2p://142.54.189.229:7575/64df446d0008ef2005697425049e4588.ts
CNN,p2p://142.54.189.229:7575/64df44980009ee7c056a1c5c030731c7.ts
discovery,p2p://142.54.189.229:7575/64df5c0d000bf8fe05c5bde17ed0309e.ts
靖天卡通台,p2p://142.54.189.229:7575/64df5c370009277b05c661456c657811.ts
MOMO親子,p2p://142.54.189.229:7575/64df44f10007b01e056b776826a703aa.ts
星卫HD电影台,p2p://142.54.189.229:7575/64df451b000e2b1f056c1d2d4c8a5a43.ts
卫视中文,p2p://142.54.189.229:7575/64df454c000c128a056cdc0835e81587.ts
亚洲旅游,p2p://142.54.189.229:7575/64df458d0000b197056dd70234661fa7.ts
三立都会,p2p://142.54.189.229:7575/64df11b100009de604a343a26d5e011f.ts
三立台湾,p2p://142.54.189.229:7575/64df120c000d1ba704a4aa47660f072a.ts
CINEMAX,p2p://142.54.189.229:7575/64df5bda0009868805c4f60d115c76bc.ts
AXN,p2p://142.54.189.229:7575/64df122d0005c00804a5294b00f52204.ts
HBO,p2p://142.54.189.229:7575/64df12580002b58d04a5d077677d6597.ts
HBO Hits,p2p://142.54.189.229:7575/64df45eb000de73e056f498e2cb767d8.ts
HBO Family,p2p://142.54.189.229:7575/64df46550004bc4d0570e54c39ee24dd.ts
HBO Signature,p2p://142.54.189.229:7575/64df46220007117705701eb010a05e11.ts
东森洋片,p2p://142.54.189.229:7575/64df13790003d2fa04aa39ae2da01a11.ts
东森电影,p2p://142.54.189.229:7575/64df13a000050e5604aad25477514fbe.ts
东森戏剧,p2p://142.54.189.229:7575/64df12c40004572504a776c51f557ae3.ts
卫视电影,p2p://142.54.189.229:7575/64df12f700010de304a83d325efd0c7f.ts
纬来电影,p2p://142.54.189.229:7575/64df13210009342a04a8e3556bf668f8.ts
好莱坞电影,p2p://142.54.189.229:7575/64df134600097ad804a973ed5c03697a.ts
都市剧场,p2p://142.54.189.229:7575/64e0cecc0002f9900b6df5b72ec12ee7.ts
精彩影视,p2p://142.54.189.229:7575/64e0ce310005eaad0b6b98fa39b36cb2.ts
